round,total_adversarial_episodes,total_ego_episodes,adv_episodes,adv_avg_reward,adv_crash_rate,adv_agents_crash_rate,adv_adv_collision_rate,adv_ego_collision_rate,adv_other_collision_rate,adv_recovery_rate,adv_road_completion_rate,adv_road_completion_rate_full,ego_episodes,ego_avg_reward,ego_crash_rate,ego_agents_crash_rate,ego_adv_adv_collision_rate,ego_adv_ego_collision_rate,ego_adv_other_collision_rate,ego_adv_recovery_rate,ego_road_completion_rate,ego_road_completion_rate_full,ego_route_completion_distance,ego_route_length,ego_avg_speed
41,8556,19896,200,364.70389047383446,0.035,0.085,0.05,0.035,0.0,0.04,0.41606235155198307,0.4119017280364632,500,96.61904140435526,0.066,0.092,0.028,0.066,0.002,0.028,0.5416390190971196,0.5362226289061486,198.00000000000003,200.0,18.919325764299103
42,8756,20397,200,305.73627894659586,0.195,0.25,0.055,0.195,0.0,0.055,0.45648590635315783,0.45192104728962634,501,125.30744626140748,0.08982035928143713,0.1996007984031936,0.13373253493013973,0.08982035928143713,0.0,0.12375249500998003,0.6808394309605971,0.6740310366509913,198.00000000000003,200.0,16.509082816228446
43,8956,21197,200,315.99953883590047,0.04,0.105,0.075,0.04,0.0,0.06,0.5105136805520969,0.5054085437465761,800,106.61575189443685,0.1675,0.215,0.05375,0.1675,0.0025,0.05375,0.5837849491206835,0.5779470996294767,198.00000000000003,200.0,17.061870970181282
44,9156,21863,200,341.9436600183307,0.075,0.135,0.075,0.075,0.0,0.075,0.43268681379860185,0.4283599456606159,666,123.31931088352697,0.06756756756756757,0.24774774774774774,0.1921921921921922,0.06756756756756757,0.0015015015015015015,0.1921921921921922,0.6566674059556742,0.6501007318961174,198.00000000000006,200.0,18.370378433346488
45,9356,22363,200,330.28612069436576,0.07,0.125,0.06,0.07,0.0,0.06,0.49152014737768324,0.48660494590390646,500,102.47847187971017,0.058,0.064,0.006,0.058,0.0,0.006,0.5797987629044414,0.5740007752753973,198.00000000000003,200.0,17.92202600453313
46,9556,22873,200,379.25410194259007,0.13,0.175,0.05,0.13,0.0,0.045,0.35390701140032876,0.3503679412863255,510,107.72119960323789,0.06862745098039216,0.13333333333333333,0.06470588235294118,0.06862745098039216,0.00392156862745098,0.058823529411764705,0.6002709049604307,0.5942681959108264,198.00000000000003,200.0,13.235227626328175
47,9756,23373,200,375.6777487942371,0.145,0.16,0.015,0.145,0.0,0.01,0.2758223557428755,0.27306413218544684,500,60.34750324942429,0.116,0.116,0.0,0.116,0.0,0.0,0.3833822432535005,0.37954842082096557,198.00000000000003,200.0,6.242489920974403
48,9956,23873,200,358.12735533724066,0.035,0.04,0.005,0.035,0.0,0.005,0.3672620488789539,0.36358942839016445,500,137.4580758344091,0.014,0.032,0.018,0.014,0.0,0.01,0.7114186845377818,0.7043044976924042,198.00000000000003,200.0,6.607966378980138
49,10156,24373,200,261.5849762894785,0.07,0.085,0.015,0.07,0.0,0.015,0.6362614840308572,0.6298988691905488,500,140.1408259331605,0.026,0.06,0.034,0.026,0.0,0.024,0.7247312082478161,0.717483896165338,198.00000000000003,200.0,6.852210949196555
50,10356,24873,200,286.2826446628408,0.175,0.23,0.055,0.175,0.005,0.05,0.6253997126669669,0.6191457155402974,500,53.76046570896914,0.156,0.162,0.008,0.156,0.0,0.006,0.3805008676365877,0.3766958589602219,198.00000000000003,200.0,8.18930601997154
